country;year;population;continent;life_expectancy;gdp_per_capita;color;fertility
China;1967;754550000.0;Asia;58.381119999999996;612.7056934;red;5.25
China;1972;862030000.0;Asia;63.118880000000004;676.9000921;red;4.92
China;1977;943455000.0;Asia;63.96736;741.2374699;red;2.87
China;1982;1000281000.0;Asia;65.525;962.4213804999999;red;2.62
China;1987;1084035000.0;Asia;67.274;1378.904018;red;2.68
China;1992;1164970000.0;Asia;68.69;1655.784158;red;2.11
China;1997;1230075000.0;Asia;70.426;2289.234136;red;1.52
China;2002;1280400000.0;Asia;72.028;3119.280896;red;1.47
China;2007;1318683096.0;Asia;72.961;4959.1148539999995;red;1.53
Hong Kong, China;1952;2125900.0;Asia;60.96;3054.421209;red;4.41
Hong Kong, China;1957;2736300.0;Asia;64.75;3629.076457;red;4.75
Hong Kong, China;1962;3305200.0;Asia;67.65;4692.648271999999;red;5.18
Hong Kong, China;1967;3722800.0;Asia;70.0;6197.962814;red;3.96
Hong Kong, China;1972;4115700.0;Asia;72.0;8315.928145;red;3.24
Hong Kong, China;1977;4583700.0;Asia;73.6;11186.14125;red;2.44
Hong Kong, China;1982;5264500.0;Asia;75.45;14560.530509999999;red;1.75
Hong Kong, China;1987;5584510.0;Asia;76.2;20038.472690000002;red;1.39
Hong Kong, China;1992;5829696.0;Asia;77.601;24757.60301;red;1.22
Hong Kong, China;1997;6495918.0;Asia;80.0;28377.632189999997;red;0.92
Hong Kong, China;2002;6762476.0;Asia;81.495;30209.015160000003;red;0.92
Hong Kong, China;2007;6980412.0;Asia;82.208;39724.97867;red;1.02
India;1952;372000000.0;Asia;37.373000000000005;546.5657493;red;5.9
India;1957;409000000.0;Asia;40.249;590.061996;red;5.9
India;1962;454000000.0;Asia;43.605;658.3471509;red;5.84
India;1967;506000000.0;Asia;47.193000000000005;700.7706107000001;red;5.7
India;1972;567000000.0;Asia;50.651;724.032527;red;5.32
India;1977;634000000.0;Asia;54.208;813.3373230000001;red;4.92
India;1982;708000000.0;Asia;56.596000000000004;855.7235377000001;red;4.52
India;1987;788000000.0;Asia;58.553000000000004;976.5126756000001;red;4.13
India;1992;872000000.0;Asia;60.223;1164.406809;red;3.71
India;1997;959000000.0;Asia;61.765;1458.817442;red;3.33
India;2002;1034172547.0;Asia;62.879;1746.769454;red;3.02
India;2007;1110396331.0;Asia;64.69800000000001;2452.210407;red;2.69
Indonesia;1952;82052000.0;Asia;37.468;749.6816546;red;5.46
Indonesia;1957;90124000.0;Asia;39.918;858.9002707000001;red;5.67
Indonesia;1962;99028000.0;Asia;42.518;849.2897700999999;red;5.65
Indonesia;1967;109343000.0;Asia;45.964;762.4317721;red;5.58
Indonesia;1972;121282000.0;Asia;49.203;1111.107907;red;5.34
Indonesia;1977;136725000.0;Asia;52.702;1382.702056;red;4.81
Indonesia;1982;153343000.0;Asia;56.159;1516.872988;red;4.17
Indonesia;1987;169276000.0;Asia;60.137;1748.356961;red;3.47
Indonesia;1992;184816000.0;Asia;62.681000000000004;2383.140898;red;2.93
Indonesia;1997;199278000.0;Asia;66.041;3119.335603;red;2.58
Indonesia;2002;211060000.0;Asia;68.58800000000001;2873.91287;red;2.47
Indonesia;2007;223547000.0;Asia;70.65;3540.6515640000002;red;2.49
Iran;1952;17272000.0;Asia;44.869;3035.326002;red;6.91
Iran;1957;19792000.0;Asia;47.181000000000004;3290.257643;red;6.92
Iran;1962;22874000.0;Asia;49.325;4187.329802;red;6.91
Iran;1967;26538000.0;Asia;52.468999999999994;5906.731804999999;red;6.7
Iran;1972;30614000.0;Asia;55.233999999999995;9613.818607;red;6.29
Iran;1977;35480679.0;Asia;57.702;11888.59508;red;6.29
Iran;1982;43072751.0;Asia;59.62;7608.334602;red;6.52
Iran;1987;51889696.0;Asia;63.04;6642.881371;red;5.76
Iran;1992;60397973.0;Asia;65.742;7235.653187999999;red;4.14
Iran;1997;63327987.0;Asia;68.042;8263.590301;red;2.72
Iran;2002;66907826.0;Asia;69.45100000000001;9240.761975;red;1.99
Iran;2007;69453570.0;Asia;70.964;11605.71449;red;1.87
Iraq;1952;5441766.0;Asia;45.32;4129.766056;red;7.44
Iraq;1957;6248643.0;Asia;48.437;6229.333562;red;6.23
Iraq;1962;7240260.0;Asia;51.457;8341.737815;red;6.51
Iraq;1967;8519282.0;Asia;54.458999999999996;8931.459811;red;7.3
Iraq;1972;10061506.0;Asia;56.95;9576.037596;red;7.23
Iraq;1977;11882916.0;Asia;60.413000000000004;14688.235069999999;red;6.83
Iraq;1982;14173318.0;Asia;62.038000000000004;14517.90711;red;6.41
Iraq;1987;16543189.0;Asia;65.044;11643.57268;red;6.11
Iraq;1992;17861905.0;Asia;59.461000000000006;3745.6406869999996;red;5.7
Iraq;1997;20775703.0;Asia;58.81100000000001;3076.239795;red;5.23
Iraq;2002;24001816.0;Asia;57.04600000000001;4390.717312;red;4.8
Iraq;2007;27499638.0;Asia;59.545;4471.061906;red;4.41
Israel;1952;1620914.0;Asia;65.39;4086.522128;red;4.32
Israel;1957;1944401.0;Asia;67.84;5385.278451;red;3.92
Israel;1962;2310904.0;Asia;69.39;7105.630706;red;3.83
Israel;1967;2693585.0;Asia;70.75;8393.741404;red;3.8
Israel;1972;3095893.0;Asia;71.63;12786.93223;red;3.8
Israel;1977;3495918.0;Asia;73.06;13306.619209999999;red;3.51
Israel;1982;3858421.0;Asia;74.45;15367.0292;red;3.17
Israel;1987;4203148.0;Asia;75.6;17122.47986;red;3.06
Israel;1992;4936550.0;Asia;76.93;18051.52254;red;2.95
Israel;1997;5531387.0;Asia;78.26899999999999;20896.60924;red;2.93
Israel;2002;6029529.0;Asia;79.696;21905.59514;red;2.91
Israel;2007;6426679.0;Asia;80.745;25523.2771;red;2.91
Japan;1952;86459025.0;Asia;63.03;3216.956347;red;3.1
Japan;1957;91563009.0;Asia;65.5;4317.694365;red;2.2
Japan;1962;95831757.0;Asia;68.73;6576.649461;red;1.97
Japan;1967;100825279.0;Asia;71.43;9847.788606999999;red;2.02
Japan;1972;107188273.0;Asia;73.42;14778.78636;red;2.11
Japan;1977;113872473.0;Asia;75.38;16610.37701;red;1.89
Japan;1982;118454974.0;Asia;77.11;19384.10571;red;1.75
Japan;1987;122091325.0;Asia;78.67;22375.941890000002;red;1.67
Japan;1992;124329269.0;Asia;79.36;26824.895109999998;red;1.5
Japan;1997;125956499.0;Asia;80.69;28816.58499;red;1.37
Japan;2002;127065841.0;Asia;82.0;28604.5919;red;1.3
Japan;2007;127467972.0;Asia;82.603;31656.06806;red;1.33
Jordan;1952;607914.0;Asia;43.158;1546.907807;red;7.39
Jordan;1957;746559.0;Asia;45.669;1886.080591;red;7.37
Jordan;1962;933559.0;Asia;48.126000000000005;2348.009158;red;7.9
Jordan;1967;1255058.0;Asia;51.629;2741.796252;red;8.03
Jordan;1972;1613551.0;Asia;56.528;2110.856309;red;7.82
Jordan;1977;1937652.0;Asia;61.13399999999999;2852.351568;red;7.46
Jordan;1982;2347031.0;Asia;63.739;4161.415959;red;7.07
Jordan;1987;2820042.0;Asia;65.869;4448.679912;red;6.16
Jordan;1992;3867409.0;Asia;68.015;3431.5936469999997;red;5.17
Jordan;1997;4526235.0;Asia;69.77199999999999;3645.379572;red;4.4
Jordan;2002;5307470.0;Asia;71.263;3844.9171939999997;red;3.89
Jordan;2007;6053193.0;Asia;72.535;4519.461171;red;3.64
Korea, Dem. Rep.;1952;8865488.0;Asia;50.056000000000004;1088.277758;red;
Korea, Dem. Rep.;1957;9411381.0;Asia;54.081;1571.134655;red;
Korea, Dem. Rep.;1962;10917494.0;Asia;56.656000000000006;1621.693598;red;
Korea, Dem. Rep.;1967;12617009.0;Asia;59.942;2143.540609;red;
Korea, Dem. Rep.;1972;14781241.0;Asia;63.983000000000004;3701.6215030000003;red;
Korea, Dem. Rep.;1977;16325320.0;Asia;67.15899999999999;4106.301249;red;
Korea, Dem. Rep.;1982;17647518.0;Asia;69.1;4106.525293;red;
Korea, Dem. Rep.;1987;19067554.0;Asia;70.64699999999999;4106.4923149999995;red;
Korea, Dem. Rep.;1992;20711375.0;Asia;69.97800000000001;3726.063507;red;
Korea, Dem. Rep.;1997;21585105.0;Asia;67.727;1690.756814;red;
Korea, Dem. Rep.;2002;22215365.0;Asia;66.66199999999999;1646.758151;red;
Korea, Dem. Rep.;2007;23301725.0;Asia;67.297;1593.06548;red;
Korea, Rep.;1952;20947571.0;Asia;47.453;1030.592226;red;
Korea, Rep.;1957;22611552.0;Asia;52.681000000000004;1487.593537;red;
Korea, Rep.;1962;26420307.0;Asia;55.292;1536.3443869999999;red;
Korea, Rep.;1967;30131000.0;Asia;57.716;2029.2281420000002;red;
Korea, Rep.;1972;33505000.0;Asia;62.611999999999995;3030.87665;red;
Korea, Rep.;1977;36436000.0;Asia;64.766;4657.22102;red;
Korea, Rep.;1982;39326000.0;Asia;67.123;5622.942464;red;
Korea, Rep.;1987;41622000.0;Asia;69.81;8533.088805;red;
Korea, Rep.;1992;43805450.0;Asia;72.244;12104.27872;red;
Korea, Rep.;1997;46173816.0;Asia;74.64699999999999;15993.52796;red;
Korea, Rep.;2002;47969150.0;Asia;77.045;19233.98818;red;
Korea, Rep.;2007;49044790.0;Asia;78.623;23348.139730000003;red;
Kuwait;1952;160000.0;Asia;55.565;108382.3529;red;7.21
Kuwait;1957;212846.0;Asia;58.033;113523.1329;red;7.2
Kuwait;1962;358266.0;Asia;60.47;95458.11176;red;7.31
Kuwait;1967;575003.0;Asia;64.624;80894.88326;red;7.41
Kuwait;1972;841934.0;Asia;67.712;109347.867;red;6.98
Kuwait;1977;1140357.0;Asia;69.343;59265.477139999995;red;6.05
Kuwait;1982;1497494.0;Asia;71.309;31354.03573;red;5.08
Kuwait;1987;1891487.0;Asia;74.17399999999999;28118.42998;red;3.31
Kuwait;1992;1418095.0;Asia;75.19;34932.91959;red;2.14
Kuwait;1997;1765345.0;Asia;76.156;40300.61996;red;2.79
Kuwait;2002;2111561.0;Asia;76.904;35110.10566;red;2.72
Kuwait;2007;2505559.0;Asia;77.58800000000001;47306.98978;red;2.67
Lebanon;1952;1439529.0;Asia;55.928000000000004;4834.804067;red;5.74
Lebanon;1957;1647412.0;Asia;59.489;6089.786934000001;red;5.74
Lebanon;1962;1886848.0;Asia;62.093999999999994;5714.560611;red;5.69
Lebanon;1967;2186894.0;Asia;63.87;6006.983042;red;5.3
Lebanon;1972;2680018.0;Asia;65.421;7486.384341;red;4.73
Lebanon;1977;3115787.0;Asia;66.09899999999999;8659.696836;red;4.27
Lebanon;1982;3086876.0;Asia;66.983;7640.519520999999;red;3.8
Lebanon;1987;3089353.0;Asia;67.926;5377.091329;red;3.28
Lebanon;1992;3219994.0;Asia;69.292;6890.806854;red;2.84
Lebanon;1997;3430388.0;Asia;70.265;8754.96385;red;2.47
Lebanon;2002;3677780.0;Asia;71.028;9313.93883;red;2.04
Lebanon;2007;3921278.0;Asia;71.993;10461.05868;red;1.62
Malaysia;1952;6748378.0;Asia;48.463;1831.132894;red;6.23
Malaysia;1957;7739235.0;Asia;52.102;1810.0669920000003;red;6.26
Malaysia;1962;8906385.0;Asia;55.736999999999995;2036.8849440000001;red;6.05
Malaysia;1967;10154878.0;Asia;59.371;2277.742396;red;5.33
Malaysia;1972;11441462.0;Asia;63.01;2849.09478;red;4.6
Malaysia;1977;12845381.0;Asia;65.256;3827.9215710000003;red;3.99
Malaysia;1982;14441916.0;Asia;68.0;4920.355951;red;3.73
Malaysia;1987;16331785.0;Asia;69.5;5249.802653;red;3.6
Malaysia;1992;18319502.0;Asia;70.693;7277.912802;red;3.45
Malaysia;1997;20476091.0;Asia;71.938;10132.90964;red;3.19
Malaysia;2002;22662365.0;Asia;73.044;10206.97794;red;2.54
Malaysia;2007;24821286.0;Asia;74.241;12451.6558;red;2.09
Mongolia;1952;800663.0;Asia;42.244;786.5668575;red;5.54
Mongolia;1957;882134.0;Asia;45.248000000000005;912.6626085;red;6.25
Mongolia;1962;1010280.0;Asia;48.251000000000005;1056.353958;red;7.35
Mongolia;1967;1149500.0;Asia;51.253;1226.04113;red;7.59
Mongolia;1972;1320500.0;Asia;53.754;1421.741975;red;7.5
Mongolia;1977;1528000.0;Asia;55.49100000000001;1647.511665;red;6.78
Mongolia;1982;1756032.0;Asia;57.489;2000.603139;red;5.86
Mongolia;1987;2015133.0;Asia;60.222;2338.008304;red;4.91
Mongolia;1992;2312802.0;Asia;61.271;1785.402016;red;3.45
Mongolia;1997;2494803.0;Asia;63.625;1902.2521;red;2.43
Mongolia;2002;2674234.0;Asia;65.033;2140.7393230000002;red;2.09
Mongolia;2007;2874127.0;Asia;66.803;3095.7722710000003;red;2.32
Myanmar;1952;20092996.0;Asia;36.319;331.0;red;6.0
Myanmar;1957;21731844.0;Asia;41.905;350.0;red;6.0
Myanmar;1962;23634436.0;Asia;45.108000000000004;388.0;red;6.1
Myanmar;1967;25870271.0;Asia;49.379;349.0;red;6.11
Myanmar;1972;28466390.0;Asia;53.07;357.0;red;5.79
Myanmar;1977;31528087.0;Asia;56.059;371.0;red;5.29
Myanmar;1982;34680442.0;Asia;58.056000000000004;424.0;red;4.76
Myanmar;1987;38028578.0;Asia;58.339;385.0;red;3.91
Myanmar;1992;40546538.0;Asia;59.32;347.0;red;3.16
Myanmar;1997;43247867.0;Asia;60.328;415.0;red;2.68
Myanmar;2002;45598081.0;Asia;59.908;611.0;red;2.29
Myanmar;2007;47761980.0;Asia;62.068999999999996;944.0;red;2.08
Nepal;1952;9182536.0;Asia;36.157;545.8657228999999;red;5.99
Nepal;1957;9682338.0;Asia;37.686;597.9363557999999;red;5.99
Nepal;1962;10332057.0;Asia;39.393;652.3968593;red;6.0
Nepal;1967;11261690.0;Asia;41.472;676.4422254;red;5.99
Nepal;1972;12412593.0;Asia;43.971000000000004;674.7881296;red;5.95
Nepal;1977;13933198.0;Asia;46.748000000000005;694.1124398;red;5.85
Nepal;1982;15796314.0;Asia;49.593999999999994;718.3730947;red;5.68
Nepal;1987;17917180.0;Asia;52.537;775.6324501;red;5.38
Nepal;1992;20326209.0;Asia;55.727;897.7403604;red;5.0
Nepal;1997;23001113.0;Asia;59.426;1010.892138;red;4.47
Nepal;2002;25873917.0;Asia;61.34;1057.206311;red;3.78
Nepal;2007;28901790.0;Asia;63.785;1091.359778;red;3.05
Oman;1952;507833.0;Asia;37.578;1828.230307;red;7.25
Oman;1957;561977.0;Asia;40.08;2242.746551;red;7.25
Oman;1962;628164.0;Asia;43.165;2924.638113;red;7.25
Oman;1967;714775.0;Asia;46.988;4720.942687;red;7.28
Oman;1972;829050.0;Asia;52.143;10618.03855;red;7.41
Oman;1977;1004533.0;Asia;57.367;11848.343920000001;red;8.02
Oman;1982;1301048.0;Asia;62.728;12954.791009999999;red;8.35
Oman;1987;1593882.0;Asia;67.734;18115.223130000002;red;7.93
Oman;1992;1915208.0;Asia;71.197;18616.70691;red;6.47
Oman;1997;2283635.0;Asia;72.499;19702.055809999998;red;4.63
Oman;2002;2713462.0;Asia;74.193;19774.83687;red;3.3
Oman;2007;3204897.0;Asia;75.64;22316.19287;red;2.89
Pakistan;1952;41346560.0;Asia;43.43600000000001;684.5971437999999;red;6.6
Pakistan;1957;46679944.0;Asia;45.556999999999995;747.0835292;red;6.6
Pakistan;1962;53100671.0;Asia;47.67;803.3427418;red;6.6
Pakistan;1967;60641899.0;Asia;49.8;942.4082588;red;6.6
Pakistan;1972;69325921.0;Asia;51.928999999999995;1049.938981;red;6.61
Pakistan;1977;78152686.0;Asia;54.043;1175.921193;red;6.6
Pakistan;1982;91462088.0;Asia;56.158;1443.429832;red;6.48
Pakistan;1987;105186881.0;Asia;58.245;1704.686583;red;6.31
Pakistan;1992;120065004.0;Asia;60.838;1971.8294640000001;red;5.77
Pakistan;1997;135564834.0;Asia;61.818000000000005;2049.3505210000003;red;5.04
Pakistan;2002;153403524.0;Asia;63.61;2092.712441;red;4.13
Pakistan;2007;169270617.0;Asia;65.483;2605.94758;red;3.65
Philippines;1952;22438691.0;Asia;47.751999999999995;1272.880995;red;7.43
Philippines;1957;26072194.0;Asia;51.333999999999996;1547.9448439999999;red;7.3
Philippines;1962;30325264.0;Asia;54.757;1649.5521529999999;red;7.02
Philippines;1967;35356600.0;Asia;56.393;1814.12743;red;6.59
Philippines;1972;40850141.0;Asia;58.065;1989.3740699999998;red;6.04
Philippines;1977;46850962.0;Asia;60.06;2373.204287;red;5.51
Philippines;1982;53456774.0;Asia;62.082;2603.273765;red;4.98
Philippines;1987;60017788.0;Asia;64.15100000000001;2189.634995;red;4.55
Philippines;1992;67185766.0;Asia;66.458;2279.3240170000004;red;4.18
Philippines;1997;75012988.0;Asia;68.564;2536.534925;red;3.92
Philippines;2002;82995088.0;Asia;70.303;2650.921068;red;3.71
Philippines;2007;91077287.0;Asia;71.688;3190.481016;red;3.33
Saudi Arabia;1952;4005677.0;Asia;39.875;6459.5548229999995;red;7.18
Saudi Arabia;1957;4419650.0;Asia;42.868;8157.591248000001;red;7.17
Saudi Arabia;1962;4943029.0;Asia;45.913999999999994;11626.41975;red;7.24
Saudi Arabia;1967;5618198.0;Asia;49.901;16903.04886;red;7.26
Saudi Arabia;1972;6472756.0;Asia;53.886;24837.42865;red;7.3
Saudi Arabia;1977;8128505.0;Asia;58.69;34167.7626;red;7.3
Saudi Arabia;1982;11254672.0;Asia;63.012;33693.17525;red;7.05
Saudi Arabia;1987;14619745.0;Asia;66.295;21198.26136;red;6.33
Saudi Arabia;1992;16945857.0;Asia;68.768;24841.617769999997;red;5.52
Saudi Arabia;1997;21229759.0;Asia;70.533;20586.69019;red;4.59
Saudi Arabia;2002;24501530.0;Asia;71.626;19014.54118;red;3.63
Saudi Arabia;2007;27601038.0;Asia;72.777;21654.83194;red;3.05
Singapore;1952;1127000.0;Asia;60.396;2315.138227;red;6.62
Singapore;1957;1445929.0;Asia;63.178999999999995;2843.104409;red;6.42
Singapore;1962;1750200.0;Asia;65.798;3674.735572;red;5.27
Singapore;1967;1977600.0;Asia;67.946;4977.41854;red;3.82
Singapore;1972;2152400.0;Asia;69.521;8597.756202;red;2.84
Singapore;1977;2325300.0;Asia;70.795;11210.08948;red;1.95
Singapore;1982;2651869.0;Asia;71.76;15169.161119999999;red;1.74
Singapore;1987;2794552.0;Asia;73.56;18861.53081;red;1.62
Singapore;1992;3235865.0;Asia;75.788;24769.8912;red;1.72
Singapore;1997;3802309.0;Asia;77.158;33519.4766;red;1.61
Singapore;2002;4197776.0;Asia;78.77;36023.1054;red;1.37
Singapore;2007;4553009.0;Asia;79.972;47143.179639999995;red;1.29
Sri Lanka;1952;7982342.0;Asia;57.593;1083.53203;red;5.9
Sri Lanka;1957;9128546.0;Asia;61.456;1072.546602;red;5.83
Sri Lanka;1962;10421936.0;Asia;62.192;1074.4719599999999;red;5.3
Sri Lanka;1967;11737396.0;Asia;64.266;1135.514326;red;4.73
Sri Lanka;1972;13016733.0;Asia;65.042;1213.39553;red;4.08
Sri Lanka;1977;14116836.0;Asia;65.949;1348.775651;red;3.63
Sri Lanka;1982;15410151.0;Asia;68.757;1648.0797890000001;red;3.22
Sri Lanka;1987;16495304.0;Asia;69.01100000000001;1876.766827;red;2.7
Sri Lanka;1992;17587060.0;Asia;70.37899999999999;2153.7392219999997;red;2.39
Sri Lanka;1997;18698655.0;Asia;70.457;2664.477257;red;2.25
Sri Lanka;2002;19576783.0;Asia;70.815;3015.3788329999998;red;2.25
Sri Lanka;2007;20378239.0;Asia;72.396;3970.0954070000003;red;2.31
Syria;1952;3661549.0;Asia;45.883;1643.485354;red;7.21
Syria;1957;4149908.0;Asia;48.284;2117.234893;red;7.37
Syria;1962;4834621.0;Asia;50.305;2193.037133;red;7.52
Syria;1967;5680812.0;Asia;53.655;1881.923632;red;7.57
Syria;1972;6701172.0;Asia;57.29600000000001;2571.423014;red;7.56
Syria;1977;7932503.0;Asia;61.195;3195.484582;red;7.36
Syria;1982;9410494.0;Asia;64.59;3761.8377149999997;red;6.84
Syria;1987;11242847.0;Asia;66.97399999999999;3116.774285;red;5.96
Syria;1992;13219062.0;Asia;69.249;3340.542768;red;4.93
Syria;1997;15081016.0;Asia;71.527;4014.238972;red;4.28
Syria;2002;17155814.0;Asia;73.053;4090.9253310000004;red;3.72
Syria;2007;19314747.0;Asia;74.143;4184.548089;red;3.24
Taiwan;1952;8550362.0;Asia;58.5;1206.947913;red;6.38
Taiwan;1957;10164215.0;Asia;62.4;1507.86129;red;6.33
Taiwan;1962;11918938.0;Asia;65.2;1822.879028;red;5.44
Taiwan;1967;13648692.0;Asia;67.5;2643.8586809999997;red;4.6
Taiwan;1972;15226039.0;Asia;69.39;4062.523897;red;3.59
Taiwan;1977;16785196.0;Asia;70.59;5596.519826;red;2.9
Taiwan;1982;18501390.0;Asia;72.16;7426.354773999999;red;2.32
Taiwan;1987;19757799.0;Asia;73.4;11054.56175;red;1.7
Taiwan;1992;20686918.0;Asia;74.26;15215.6579;red;1.73
Taiwan;1997;21628605.0;Asia;75.25;20206.82098;red;1.77
Taiwan;2002;22454239.0;Asia;76.99;23235.42329;red;1.34
Taiwan;2007;23174294.0;Asia;78.4;28718.27684;red;1.1
Thailand;1952;21289402.0;Asia;50.848;757.7974177;red;6.14
Thailand;1957;25041917.0;Asia;53.63;793.5774147999999;red;6.14
Thailand;1962;29263397.0;Asia;56.06100000000001;1002.1991720000001;red;6.16
Thailand;1967;34024249.0;Asia;58.285;1295.46066;red;6.01
Thailand;1972;39276153.0;Asia;60.405;1524.3589359999999;red;5.18
Thailand;1977;44148285.0;Asia;62.494;1961.2246350000003;red;4.03
Thailand;1982;48827160.0;Asia;64.597;2393.219781;red;3.02
Thailand;1987;52910342.0;Asia;66.084;2982.653773;red;2.35
Thailand;1992;56667095.0;Asia;67.298;4616.8965450000005;red;2.0
Thailand;1997;60216677.0;Asia;67.521;5852.625497;red;1.78
Thailand;2002;62806748.0;Asia;68.564;5913.187529;red;1.62
Thailand;2007;65068149.0;Asia;70.616;7458.3963269999995;red;1.5
Vietnam;1952;26246839.0;Asia;40.412;605.0664917;red;5.31
Vietnam;1957;28998543.0;Asia;42.887;676.2854477999999;red;6.12
Vietnam;1962;33796140.0;Asia;45.363;772.0491602000001;red;6.43
Vietnam;1967;39463910.0;Asia;47.838;637.1232887;red;6.49
Vietnam;1972;44655014.0;Asia;50.254;699.5016441;red;6.35
Vietnam;1977;50533506.0;Asia;55.763999999999996;713.5371196000001;red;5.61
Vietnam;1982;56142181.0;Asia;58.816;707.2357863;red;4.69
Vietnam;1987;62826491.0;Asia;62.82;820.7994449;red;3.93
Vietnam;1992;69940728.0;Asia;67.66199999999999;989.0231487;red;3.26
Vietnam;1997;76048996.0;Asia;70.672;1385.896769;red;2.31
Vietnam;2002;80908147.0;Asia;73.017;1764.456677;red;1.92
Vietnam;2007;85262356.0;Asia;74.249;2441.576404;red;1.88
West Bank and Gaza;1952;1030585.0;Asia;43.16;1515.5923289999998;red;7.39
West Bank and Gaza;1957;1070439.0;Asia;45.67100000000001;1827.0677420000002;red;7.37
West Bank and Gaza;1962;1133134.0;Asia;48.126999999999995;2198.9563120000003;red;7.91
West Bank and Gaza;1967;1142636.0;Asia;51.631;2649.7150070000002;red;8.02
West Bank and Gaza;1972;1089572.0;Asia;56.532;3133.4092769999997;red;7.75
West Bank and Gaza;1977;1261091.0;Asia;60.765;3682.8314939999996;red;7.52
West Bank and Gaza;1982;1425876.0;Asia;64.406;4336.032082;red;7.08
West Bank and Gaza;1987;1691210.0;Asia;67.046;5107.197384;red;6.54
West Bank and Gaza;1992;2104779.0;Asia;69.718;6017.654756;red;6.54
West Bank and Gaza;1997;2826046.0;Asia;71.096;7110.667619;red;5.93
West Bank and Gaza;2002;3389578.0;Asia;72.37;4515.487575;red;5.1
West Bank and Gaza;2007;4018332.0;Asia;73.422;3025.349798;red;4.48
Yemen, Rep.;1952;4963829.0;Asia;32.548;781.7175761;red;
